"address","age","liquidityUsd","makerCount","marketCapUsd","priceChange1h","priceChange24h","priceChange5m","priceChange6h","priceUsd","tokenName","tokenSymbol","transactionCount","volumeUsd"
"9d9mb8kooffad3sctgztkxqypkshx6ezhbkio89ixyy2","2160","391800000","366","2610000000","0.003","0.0202","-0.0038","0.0202","13.09","OFFICIAL TRUMP","#64
DLMM
TRUMP
/
USDC
OFFICIAL TRUMP","12822","82300000"
"2btkxn44kej38f1mmy1p3mjyucojwc2vmhsn2ss8m7jv","48","170000","1160","2200000","-0.1118","-0.4986","-0.1127","-0.4233","0.002291","BonkAI","#65
CPMM
BONKAI
/
SOL
BonkAI","5224","1400000"
"4bbvrwsocm9wy2qxccufcl8gxktnext73unfvek4mmq7","2880","567000","1202","7600000","-0.0196","0.3856","0.0025","-0.08259999999999999","0.008355","San Chan","#66
San
/
SOL
San Chan","4935","1100000"
"99a2qtflaxv9lvhkesjeawjky8pwb4cypc5ccucb4vus",,"1300000","1828","49100000","-0.0171","-0.044199999999999996","-0.0038","0.0206","0.0838","TARS AI","#67
TAI
/
SOL
TARS AI","8760","1700000"
"b4vwozy1fgtp8selxsxydwszavpugnj77durv2k4mhuv","2880","118000","5259","768600000","0.0051","0.139","-0.0046","0.14029999999999998","0.01222","Pudgy Penguins","#68
CLMM
PENGU
/
SOL
Pudgy Penguins","47882","1500000"
"8tqrsgxkre9t7immn15nkjmvsfzpmjtp4kxs6tb7icha","48","42000","1733","82000","-0.249","-0.5791","0.0668","-0.6861","0.048295","The Big Short","#69
Shortcoin
/
SOL
The Big Short","7250","836000"
"8qxrcnyssrg3zgtdejzxkjfjchmd4vptjfhyugvetpwr","96","60000","1265","191000","-0.037599999999999995","-0.18789999999999998","0.0634","-0.1949","0.0001919","shark raptor rocket launcher","#70
SRRL
/
SOL
shark raptor rocket launcher","5596","816000"
"cpsmssqi3p9vmvnqxrdwvbsbcwyuhbggncrw7morbq3g","3600","3700000","795","69300000","-0.0165","0.0321","0.0046","-0.0132","0.06934","test griffain.com","#71
GRIFFAIN
/
SOL
test griffain.com","10400","4600000"
"9fmdkqipjk2teeuv53bmdxi52urlbrevv38k8gbnkim7","720","884000","1437","5300000","-0.0409","0.0053","0.0002","-0.0003","0.005389","PWEASE","#72
pwease
/
SOL
PWEASE","7070","1200000"
"63amwndbz75z2j7jykdbzxvzt36l9qdgw7czaxbd4kne","2160","1000000","1160","6200000","0.0087","0.1032","-0.0022","-0.08289999999999999","0.006278","The Next Bitcoin","#73
BUTTCOIN
/
SOL
The Next Bitcoin","3363","713000"
